"v","n"
"alfalfa",37
"almonds",9
"apples",29
"apricots",5
"aquaculture",17
"asparagus",13
"background",22
"barley",34
"barren",37
"blueberries",27
"broccoli",15
"buckwheat",15
"cabbage",20
"caneberries",21
"canola",17
"cantaloupes",10
"carrots",24
"cauliflower",7
"cherries",32
"chick_peas",2
"christmas_trees",20
"citrus",7
"clover_wildflowers",30
"corn",36
"cotton",6
"cucumbers",16
"dbl_crop_barley_corn",8
"dbl_crop_oats_corn",8
"dbl_crop_win_wht_corn",14
"dbl_crop_win_wht_cotton",2
"dbl_crop_win_wht_sorghum",6
"deciduous_forest",37
"developed_high_intensity",35
"developed_low_intensity",37
"developed_med_intensity",37
"developed_open_space",37
"dry_beans",31
"durum_wheat",6
"evergreen_forest",37
"fallow_idle_cropland",36
"flaxseed",4
"garlic",20
"gourds",2
"grapes",35
"grass_pasture",37
"greens",29
"herbaceous_wetlands",37
"herbs",26
"honeydew_melons",6
"hops",15
"lentils",8
"lettuce",10
"millet",3
"mint",19
"misc_vegs_fruits",17
"mixed_forest",36
"mustard",9
"nectarines",5
"oats",34
"olives",9
"onions",25
"open_water",37
"oranges",7
"other_crops",32
"other_hay_non_alfalfa",35
"other_tree_crops",27
"peaches",10
"pears",25
"peas",30
"pecans",8
"peppers",11
"perennial_ice_snow",31
"pistachios",9
"plums",24
"pomegranates",9
"pop_or_orn_corn",5
"potatoes",28
"pumpkins",28
"radishes",13
"rape_seed",7
"rice",8
"rye",27
"safflower",13
"shrubland",37
"sod_grass_seed",35
"sorghum",24
"soybeans",7
"spring_wheat",31
"squash",29
"strawberries",23
"sugarbeets",22
"sunflower",16
"sweet_corn",19
"sweet_potatoes",4
"tomatoes",8
"triticale",32
"turnips",5
"vetch",19
"walnuts",31
"watermelons",13
"winter_wheat",35
"woody_wetlands",37
